,ID,random_seed,number_layers,number_units,LAA,number_res,number_ub,weight_values_ic,weight_values_ub,weight_values_lb,ALR,iterations,batch_size,RAR,new_residual_points,time_Adam,time_BFGS,theta_L2_relative_error,theta_abs_relative_error,theta_max_error,psi_L2_relative_error,psi_abs_relative_error,psi_max_error,loss_ub,loss_lb,loss_ic,loss_res
68,19,8,5,50,True,10000,1000,100,10,3,False,100000,128,False,10,1616.512891663,2.484563479999906,0.010116330376310026,0.004673442613140249,0.04763503651395318,0.046885450278723435,0.03047882487955409,0.41969400231060927,3.4980665e-09,2.0435336e-09,6.476486e-10,1.2860703999999998e-06
69,20,9,5,50,True,10000,1000,100,10,3,False,100000,128,False,10,1571.5883727149999,2.793350634000035,0.004521707156093036,0.002838173445211267,0.020206856855471717,0.020649246553276598,0.015947047017874947,0.1858890611332411,4.6926707e-09,1.31313405e-08,6.0215366e-10,9.114129399999999e-07
70,21,0,5,50,True,10000,1000,100,10,10,False,100000,128,False,10,1575.5500177850004,2.2720729170005143,0.0031071019760660653,0.002319054425941932,0.013667214044650183,0.012076043193148055,0.01146516507212049,0.11501826815913208,4.523165e-09,1.5335637e-09,1.3183852e-09,1.4325573e-06
71,22,1,5,50,True,10000,1000,100,10,10,False,100000,128,False,10,1577.0697735139993,2.6769310489999043,0.004201145605536375,0.0031331094959031343,0.01802249563606559,0.017682940975258608,0.016160223769948766,0.1495050387890149,9.080526e-09,2.815492e-09,7.8521456e-10,3.9394504e-06
72,23,2,5,50,True,10000,1000,100,10,10,False,100000,128,False,10,1581.7920147579998,2.3159576279995235,0.002723405035610424,0.001672697497836155,0.011115896829684363,0.012934358004552279,0.009701121449887237,0.11292748135076458,3.3058578e-09,1.8188729999999997e-09,2.3252723e-10,6.4347165e-07
73,24,3,5,50,True,10000,1000,100,10,10,False,100000,128,False,10,1581.5483664109997,2.438866013999359,0.0014031020213730004,0.0011086532555271383,0.00420454360530248,0.004377012834642883,0.00467882568531162,0.05497944380291253,4.6454267e-09,2.6463645e-09,3.384107e-10,9.966536999999999e-07
74,25,4,5,50,True,10000,1000,100,10,10,False,100000,128,False,10,1574.3632742439986,2.3494175729993003,0.003057425241161751,0.0022506075600712445,0.013711782470201161,0.012939358186564678,0.011857407329839276,0.11686355223221545,1.1704476000000001e-08,1.8851523e-09,3.3318273e-09,2.9013522e-06
75,26,5,5,50,True,10000,1000,100,10,10,False,100000,128,False,10,2833.674580769,2.5765897119999863,0.009209604537113681,0.005133335137561818,0.044048357137759314,0.0415295256761039,0.03004463557549902,0.3702116567295546,5.7468057e-09,2.482411e-09,1.1069405e-09,2.392222e-06
76,27,6,5,50,True,10000,1000,100,10,10,False,100000,128,False,10,2837.7637563050002,2.5406065200004377,0.0023668660305441714,0.0018373294444172987,0.007044646047570158,0.006874432464938161,0.007731103175352925,0.07552855859236951,1.5327219e-08,2.8608138e-09,9.646184e-10,2.3435417999999997e-06
77,28,7,5,50,True,10000,1000,100,10,10,False,100000,128,False,10,2914.5484007739997,3.3284199889985757,0.0006188201614923388,0.00048168314559719386,0.0019032202699983403,0.0035340831231920502,0.002770668964985418,0.033070274214060724,3.7424677e-09,9.415977e-10,3.699434e-10,7.729125000000001e-07
78,29,8,5,50,True,10000,1000,100,10,10,False,100000,128,False,10,2918.893158992001,2.6486059809994913,0.004488913004357992,0.002957461323796789,0.018587681778987036,0.019829604474923896,0.016265015829299238,0.16827255074200576,5.7276694e-09,1.0306401e-09,3.5524603e-09,2.679477e-06
79,30,9,5,50,True,10000,1000,100,10,10,False,100000,128,False,10,1832.977291113,2.1396554019997893,0.00730767202496576,0.004628216721406287,0.0325253338900405,0.032332515031868965,0.02581626007244444,0.2774830495314098,6.5534747e-09,1.0101119e-09,3.798549000000001e-09,2.6316192999999996e-06
80,31,0,5,50,True,10000,1000,100,10,30,False,100000,128,False,10,1819.5551513690002,2.4284123699999327,0.003840855677385018,0.0029923985515090015,0.014331954845507727,0.013270443854636958,0.013958898508788722,0.12096132808039672,1.1986250000000001e-08,1.5239013e-09,1.7761357e-09,3.3701844999999996e-06
81,32,1,5,50,True,10000,1000,100,10,30,False,100000,128,False,10,1833.2342462569995,2.594171230000029,0.00393980942575798,0.0027016515609599263,0.01772789967926322,0.017060251969016633,0.01439576538559943,0.1586177979902721,6.1957195e-09,1.495525e-09,9.1986696e-10,2.383666e-06
82,33,2,5,50,True,10000,1000,100,10,30,False,100000,128,False,10,1854.4603475860004,2.138575822000348,0.003078438390267071,0.002284466833873996,0.006853374019120839,0.007542386187049423,0.009428475593295444,0.05406960691856644,1.6570172999999998e-08,3.7914016e-10,1.8460451e-09,2.772259e-06
83,34,3,5,50,True,10000,1000,100,10,30,False,100000,128,False,10,1848.6462265179998,2.353781394998805,0.003807753703845355,0.0026136268804043037,0.017339009174426184,0.016034442281378437,0.013752124979042536,0.1538901959852672,1.311347e-08,1.3743943e-09,4.519543e-10,1.2722268e-06
84,35,4,5,50,True,10000,1000,100,10,30,False,100000,128,False,10,1857.4644714059996,2.2816991960007726,0.002860399640184295,0.002028115520126428,0.012976545223315344,0.012053292549471845,0.010633379130349622,0.11791903128189807,1.7528303999999998e-08,3.694341e-10,1.903086e-09,1.691664e-06
85,36,5,5,50,True,10000,1000,100,10,30,False,100000,128,False,10,1896.7482118589996,2.2848543299987796,0.004889811692153108,0.0035802688103696973,0.021268624195178137,0.019242454524321096,0.01785684843919076,0.18003207792801623,7.387146e-09,2.7926992e-09,7.3518797e-10,2.596126e-06
86,37,6,5,50,True,10000,1000,100,10,30,False,100000,128,False,10,1901.2060007470009,2.239238697999099,0.0019441770211817424,0.001237507682082837,0.009015354641993628,0.008599576390102242,0.006912673978053892,0.07916218390030627,6.680054e-10,3.4512062999999996e-10,1.8170448e-10,7.010890000000001e-07
87,38,7,5,50,True,10000,1000,100,10,30,False,100000,128,False,10,1907.0930230370013,2.2507110289989214,0.0042818866284098775,0.003058322901073359,0.018802616128047095,0.01735701818938254,0.015562807659704279,0.1600065862135387,3.9590415e-08,1.3378609e-09,2.6986409999999996e-09,2.8937686e-06
88,39,8,5,50,True,10000,1000,100,10,30,False,100000,128,False,10,1933.4564067130013,2.8355007880018093,0.0016982681245422096,0.0012244761566047267,0.008150142624230416,0.006756534751114187,0.0058106562180574505,0.07647023625065796,1.7557703000000002e-08,9.891372e-10,1.8514552e-09,2.1297385e-06
