,ID,random_seed,number_layers,number_units,LAA,number_res,number_ub,weight_values_ic,weight_values_ub,weight_values_lb,ALR,iterations,batch_size,RAR,new_residual_points,time_Adam,time_BFGS,theta_L2_relative_error,theta_abs_relative_error,theta_max_error,psi_L2_relative_error,psi_abs_relative_error,psi_max_error,loss_ub,loss_lb,loss_ic,loss_res,number_weight_parameters
33,34,3,1,20,False,10000,1000,10,10,10,False,100000,128,False,10,947.6701555030013,27.96562848800386,0.026526908386598866,0.019760516103197682,0.03509678665191107,0.09871266743552358,0.0993106008550506,0.7089403691181366,9.825167e-07,1.9812020000000002e-06,1.7039215999999998e-05,0.00047572297999999997,60
34,35,4,1,20,False,10000,1000,10,10,10,False,100000,128,False,10,949.6649664740034,35.42969471200195,0.02934698932751625,0.02560958666217076,0.02561379197627478,0.08551195010760045,0.11030525889578179,0.5613509240040009,1.9161634e-07,2.511857e-06,1.0419282000000001e-05,0.00029795943,60
35,36,5,1,20,False,10000,1000,10,10,10,False,100000,128,False,10,955.0163554120008,28.11682071800169,0.024418708373084186,0.0205526451365143,0.039047784838976196,0.10701800312179147,0.10272587675764915,0.7645350518116181,2.0675081e-06,7.569603999999999e-07,2.6136808000000002e-05,0.0003324361,60
36,37,6,1,20,False,10000,1000,10,10,10,False,100000,128,False,10,961.8142666519998,14.833233928999107,0.033939304092578185,0.025084050479902014,0.05622304204493933,0.14951145388592849,0.1335225157332139,0.9756697239765351,1.8200033000000002e-05,4.526622e-06,7.236197e-05,0.0005522686,60
37,38,7,1,20,False,10000,1000,10,10,10,False,100000,128,False,10,956.6378643709977,20.902520871997694,0.031101231372735422,0.025353787384381266,0.0400122326949256,0.0891364811420916,0.10931355086365244,0.7776490273365204,3.820122e-06,4.965997e-07,2.6889390000000003e-05,0.00036483817,60
38,39,8,1,20,False,10000,1000,10,10,10,False,100000,128,False,10,965.385715243996,27.978931213001488,0.038900914050429704,0.033420111071049995,0.04762353721648627,0.3205588441983321,0.22126274051169026,1.6619222862695509,2.3489421000000003e-05,3.9951838e-06,4.8460977e-05,0.0007307879,60
39,40,9,1,20,False,10000,1000,10,10,10,False,100000,128,False,10,948.1158889809958,41.652062150002166,0.01540612747171465,0.00935891925152748,0.04099213305503302,0.07347516441172314,0.0567820672537335,0.7907994809040253,7.49716e-06,7.974787e-06,3.1083306e-05,0.0003218778,60
40,1,0,1,30,True,10000,1000,10,10,10,False,100000,128,False,10,692.2707020320001,50.688354105999906,0.01697139800334656,0.01359004462089895,0.024350015148664805,0.05049735110947029,0.061793562064270974,0.28644333504526065,1.5124273e-06,1.1186913e-06,1.5844631e-06,0.00015288517,90
41,2,1,1,30,True,10000,1000,10,10,10,False,100000,128,False,10,694.841774044,48.31220187600002,0.014559467245028256,0.010455666565436875,0.022045142684282593,0.05153032585631879,0.05142372153736286,0.49963627480356143,3.6348877e-07,1.0904510000000001e-06,5.78012e-06,0.00014623284,90
42,3,2,1,30,True,10000,1000,10,10,10,False,100000,128,False,10,699.251942372,75.53295457500008,0.01421765762526641,0.01073346359852666,0.022769816694931333,0.06180088273599579,0.057914896423285435,0.24388220946614902,5.169308699999999e-07,7.54138e-07,1.4289789e-06,9.4116294e-05,90
43,4,3,1,30,True,10000,1000,10,10,10,False,100000,128,False,10,689.9677277189999,51.38069723799981,0.024777296508696336,0.0170656928853329,0.024401827958250077,0.07248432592769874,0.07855261112655933,0.47954235695688174,1.4559831e-06,1.8748398e-06,6.430289e-06,0.00025958213,90
44,5,4,1,30,True,10000,1000,10,10,10,False,100000,128,False,10,697.5561562950002,0.8355413669996778,0.028579144699264595,0.02147188567763676,0.04835890952140265,0.13691610368124954,0.11274358398610038,0.8844862999805634,1.2281259e-05,1.4897561999999998e-06,4.3903674e-05,0.00049832923,90
45,6,5,1,30,True,10000,1000,10,10,10,False,100000,128,False,10,700.5858539720002,0.7291981930002294,0.04608606036736817,0.03885916014325669,0.04801372412234717,0.31611690063206666,0.23966480028088227,1.6535276563163168,1.615281e-05,3.4413992999999998e-06,4.3103093e-05,0.00067359477,90
46,7,6,1,30,True,10000,1000,10,10,10,False,100000,128,False,10,707.0361199020008,46.83304004399997,0.011615350761606224,0.008681193415236559,0.019741080437006286,0.07030474709541235,0.05468985659750327,0.4576672139057343,5.459445e-07,4.5400037e-07,5.550612e-06,0.00011335341999999999,90
